year,type,text,link,location
1847,Website,The Milford Branch,https://www.abandonedrails.com/milford-branch,External
1847,Website,The Watertown Branch,https://www.abandonedrails.com/watertown-branch,External
1847,Website,Providence & Worcester Railroad,https://www.gwrr.com/railroads/north_america/providence-and-worcester-railroad#m_tab-one-panel,External
1847,Website,CSX Railroad,https://www.csx.com/index.cfm/about-us/history-evolution/,External
1848,Website,The Milford Branch,https://www.abandonedrails.com/milford-branch,External
1848,Report,Regional Public Transit Feasibility Study: Milford,https://www.bostonmpo.org/data/html/studies/transit/SWAP_Transit_Feasibility/SWAP_Transit_Feasibility.html,Boston MPO
1848,PDF,The Stony Brook Railroad History,http://www.chelmsfordgov.com/CHCwebsite/PDF_files/Railroads_StonyBrookHistory.pdf,External
1848,Website,Boston & Maine Railroad,https://www.bmrrhs.org/history-of-the-b-and-m-railroad,External
1849,Website,The Manchester and Lawrence Railroad,https://www.abandonedrails.com/manchester-and-lawrence-railroad,External
1849,Website,Franklin Commuter Rail,https://www.mbta.com/schedules/CR-Franklin/line,External
1850,Website,On and Along the Grand Junction Railroad,http://www.bostonstreetcars.com/grand-junction-railroad.html,External
1850,Website,The Salem and Lowell Railroad,http://www.oldrr.com/slopen.html,External
1850,Website,Needham Commuter Rail,https://www.mbta.com/schedules/CR-Needham/line,External
1850,Report,Reverse Commute Areas Analysis: Needham,https://www.bostonmpo.org/data/html/studies/transit/Reverse-Commute-Areas-Analysis/Reverse-Commute-Areas-Analysis.html,Boston MPO
1853,Website,The Saugus Branch Railroad,https://www.abandonedrails.com/saugus-branch-railroad,External
1861,Website,Rockport Commuter Rail,https://www.mbta.com/schedules/CR-Newburyport/line,External
1861,Report,Regional Public Transit Feasibility Study: Millis,https://www.bostonmpo.org/data/html/studies/transit/SWAP_Transit_Feasibility/SWAP_Transit_Feasibility.html,Boston MPO
1867,Blog,MassDOT Completes Framingham Secondary Rail Line Acquisition,https://blog.mass.gov/transportation/massdot-rail-transit/massdot-completes-framingham-secondary-rail-line-acquisition/,External
1871,Website,The Framingham and Lowell Railroad,https://www.abandonedrails.com/framingham-and-lowell-railroad,External
1873,Website,The Air Line,https://www.abandonedrails.com/air-line,External
1875,Website,The Central Massachusetts Railroad,https://www.abandonedrails.com/wayland-and-sudbury-branch-railroad,External
1875,Website,Central Massachusetts Railroad,http://westonhistory.org/weston-history/topics/central-massachusetts-railroad,External
1889,Website,First Electric Streetcar,https://www.mbta.com/history,External
1889,Website,B Branch,http://www.bostonstreetcars.com/b-branch.html,External
1889,Website,C Branch,http://www.bostonstreetcars.com/c-branch.html,External
1894,Website,Massachusetts Highway Commission,https://www.mass.gov/orgs/highway-division,External
1894,Website,MBTA Stops-North Station,https://www.mbta.com/stops/place-north,External
1894,Website,North Station,http://goodoldboston.blogspot.com/2012/02/lost-train-stations-north-station-i-and.html,External
1898,Website,MBTA Green Line,https://www.mbta.com/schedules/Green,External
1897,Website,Nation's First Subway Opens in Boston,https://www.massmoments.org/moment-details/nations-first-subway-opens-in-boston.html,External
1897,Website,The Tremont Street Subway,https://www.boston.gov/news/notes-archives-tremont-street-subway,External
1897,Website,Park Street Station,https://lostnewengland.com/tag/park-street-station/,External
1897,Website,The Green Line Subway,http://www.bostonstreetcars.com/subway.html,External
1897,Website,History of MBTA&rsquo;s Green Line,https://www.boston.com/uncategorized/noprimarytagmatch/2012/08/31/recent-changes-history-of-mbtas-green-line,External
1897,Website,History of the MBTA,https://www.mbta.com/history,External
1898,Website,MBTA Green Line,https://www.mbta.com/schedules/Green,External
1898,Website,Nation's First Subway Opens in Boston,https://www.massmoments.org/moment-details/nations-first-subway-opens-in-boston.html,External
1898,Website,The Tremont Street Subway,https://www.boston.gov/news/notes-archives-tremont-street-subway,External
1898,Website,History of MBTA&rsquo;s Green Line,https://www.boston.com/uncategorized/noprimarytagmatch/2012/08/31/recent-changes-history-of-mbtas-green-line,External
1898,Website,History of the MBTA,https://www.mbta.com/history,External
1899,Website,MBTA South Station,https://www.mbta.com/stops/place-sstat,External
1899,Website,History of South Station,https://www.south-station.net/south-station-train-terminal,External
1901,Website,MBTA Orange Line,https://www.mbta.com/schedules/Orange/line,External
1901,Website,Elevated Orange Line,http://www.bostonstreetcars.com/orange-line.html,External
1901,Blog,Atlantic Avenue Elevated,http://goodoldboston.blogspot.com/2011/12/atlantic-avenue-trains-times-two.html,External
1901,Website,Atlantic Avenue Elevated Photo Album,https://www.flickr.com/photos/cityofbostonarchives/albums/72157647488510784/,External
1901,Website,Dudley Square Station,http://www.bostonstreetcars.com/dudley-square.html,External
1901,Website,Sullivan Station,http://www.bostonstreetcars.com/sullivan-square.html,External
1904,Website,MBTA Blue Line,https://www.mbta.com/schedules/Blue/line,External
1906,Website,Needham Commuter Rail,https://www.mbta.com/schedules/CR-Needham/line,External
1907,Website,Needham Commuter Rail,https://www.mbta.com/schedules/CR-Needham/line,External
1908,Website,MBTA Orange Line,https://www.mbta.com/schedules/Orange/line,External
1908,Website,Elevated Orange Line,http://www.bostonstreetcars.com/orange-line.html,External
1912,Website,MBTA Green Line,https://www.mbta.com/schedules/Green,External
1912,Website,Lechmere Viaduct Rehabilitation,https://www.mbta.com/projects/lechmere-viaduct-rehabilitation,External
1912,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1912,Website,Red Line Transformation Program,https://www.mbta.com/projects/red-line-transformation-program,External
1914,Website,MBTA Green Line,https://www.mbta.com/schedules/Green,External
1915,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1916,Website,MBTA Blue Line,https://www.mbta.com/schedules/Blue/line,External
1917,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1918,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1919,Website,Massachusetts Department of Public Works,https://www.mass.gov/orgs/massachusetts-department-of-transportation,External
1919,Website,MBTA Orange Line,https://www.mbta.com/schedules/Orange/line,External
1919,Website,Sullivan Station,http://www.bostonstreetcars.com/sullivan-square.html,External
1919,Website,Elevated Orange Line,http://www.bostonstreetcars.com/orange-line.html,External
1919,Website,The Boston Molasses Disaster,https://www.theatlantic.com/photo/2015/01/on-this-day-the-boston-molasses-disaster-in-1919/384573/,External
1919,Website,The Great Boston Molasses Flood,http://www.billdamon.com/the-great-boston-molasses-flood-of-1919/#sthash.CLyG4oHQ.dpbs,External
1923,Website,Boston Airport,https://www.historycentral.com/aviation/airports/Logan.ht,External
1927,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1928,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1929,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1929,Website,Mattapan High-Speed Line,http://www.bostonstreetcars.com/mattapan-high-speed-line.html,External
1934,Website,William Hyslop Sumner,https://www.jphs.org/people/2005/4/14/gen-william-hyslop-sumner.html,External
1936,Website,The First Boston-Area Trolleybuses,https://transportationhistory.org/2019/04/11/the-first-boston-area-trolleybuses-make-their-debut/,External
1936,Website,Trackless Trolleys,http://www.bostonstreetcars.com/trackless-trolleys.html,External
1941,Website,Hanscom Air Force Base,https://www.hanscom.af.mil/,External
1941,Website,Laurence G. Hanscom,https://en.wikipedia.org/wiki/Laurence_G._Hanscom,External
1941,Website,MBTA Green Line,https://www.mbta.com/schedules/Green,External
1941,Website,E Branch,http://www.bostonstreetcars.com/e-branch.html,External
1943,Website,General Edward L. Logan,https://www.irishmassachusetts.com/profile_logan_airport.php,External
1950,Website,Tobin Bridge,https://explorebostonhistory.org/items/show/5,External
1950,Website,Maurice J. Tobin,https://en.wikipedia.org/wiki/Maurice_J._Tobin,External
1951,Data,Average Speeds and Travel Times: Route 128 South,https://www.bostonmpo.org/node/3178,Boston MPO
1951,Data,Average Speeds and Travel Times: Route 128 West,https://www.bostonmpo.org/node/3185,Boston MPO
1951,Data,Average Speeds and Travel Times: Route 128 Northeast,https://www.bostonmpo.org/node/3215,Boston MPO
1951,Data,Average Speeds and Travel Times: Route 128 North,https://www.bostonmpo.org/node/3252,Boston MPO
1951,Data,Traffic Volumes on Route 128 South,https://www.bostonmpo.org/node/3270,Boston MPO
1951,Data,Traffic Volumes on Route 128 West,https://www.bostonmpo.org/node/3271,Boston MPO
1951,Data,Traffic Volumes on Route 128 North,https://www.bostonmpo.org/node/3297,Boston MPO
1951,Data,Express highway count locations: I-95/Route 128 West-Northwest,https://www.bostonmpo.org/node/3196,Boston MPO
1951,Data,Express highway count locations: Route 128 North,https://www.bostonmpo.org/node/3240,Boston MPO
1952,Website,EZDriveMA,https://www.mass.gov/ezdrivema,External
1952,Data,Average Speeds and Travel Times: I-90 / Mass Pike,https://www.bostonmpo.org/node/3175,Boston MPO
1952,Data,Traffic Volumes on I-90 (Massachusetts Turnpike),https://www.bostonmpo.org/node/3301,Boston MPO
1952,Data,Express highway count locations: I-90 (West Stockbridge to Weston),https://www.bostonmpo.org/node/3200,Boston MPO
1952,Data,I-90 Interchange 17 (Newton Corner),https://www.bostonmpo.org/i90_interchange_17,Boston MPO
1952,Website,MBTA Blue Line,https://www.mbta.com/schedules/Blue/line,External
1954,Website,MBTA Blue Line,https://www.mbta.com/schedules/Blue/line,External
1954,Data,Traffic Volumes on I-93 Central Artery,https://www.bostonmpo.org/node/3302,Boston MPO
1954,Data,Express highway count locations: I-93 Central Artery,https://www.bostonmpo.org/node/3201,Boston MPO
1955,Data,Traffic Volumes on I-95 North,https://www.bostonmpo.org/node/3304,Boston MPO
1955,Data,Express highway count locations: I-95 far north,https://www.bostonmpo.org/node/3245,Boston MPO
1955,Data,Express highway count locations: I-95 North,https://www.bostonmpo.org/node/3246,Boston MPO
1956,Website,Congress Approves the Federal-Aid Highway Act,https://www.senate.gov/artandhistory/history/minute/Federal_Highway_Act.htm,External
1957,Data,Average Speeds and Travel Times: I-90 / Mass Pike,https://www.bostonmpo.org/node/3175,Boston MPO
1957,Data,Traffic Volumes on I-90 (Massachusetts Turnpike),https://www.bostonmpo.org/node/3301,Boston MPO
1957,Data,Express highway count locations: I-90 (West Stockbridge to Weston),https://www.bostonmpo.org/node/3200,Boston MPO
1957,Data,Average Speeds and Travel Times: Route 3 North,https://www.bostonmpo.org/node/3221,Boston MPO
1957,Data,Traffic Volumes on Route 3 North,https://www.bostonmpo.org/node/3273,Boston MPO
1958,Data,Express highway count locations: I-93 South,https://www.bostonmpo.org/node/3203,Boston MPO
1958,Data,Average Speeds and Travel Times: Route 24 South,https://www.bostonmpo.org/node/3216,Boston MPO
1958,Data,Traffic Volumes on Route 24,https://www.bostonmpo.org/node/3276,Boston MPO
1958,Data,Express highway count locations: Route 24,https://www.bostonmpo.org/node/3253,Boston MPO
1958,Data,Safety and Operational Improvements for the I-93/Route 24 Interchange,https://www.bostonmpo.org/safety_and_ops_i93_rte24,Boston MPO
1958,Website,The Saugus Branch Railroad,https://www.abandonedrails.com/saugus-branch-railroad,External
1959,Data,Average Speeds and Travel Times: I-93 / Central Artery/ Southeast Expressway,https://www.bostonmpo.org/node/3176,Boston MPO
1959,Data,Traffic Volumes on I-93 Central Artery,https://www.bostonmpo.org/node/3302,Boston MPO
1959,Data,Express highway count locations: I-93 Central Artery,https://www.bostonmpo.org/node/3201,Boston MPO
1959,Data,Improving the Southeast Expressway: A Conceptual Plan,https://www.bostonmpo.org/se_expr_concept,Boston MPO
1959,Data,"Southeast Expressway Travel Times: Southbound General-Purpose Lanes, PM Peak Period, 2002+C15211",https://www.bostonmpo.org/node/3286,Boston MPO
1959,Data,"Southeast Expressway Travel Times: Northbound Travel Lanes, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3285,Boston MPO
1959,Data,"Southeast Expressway Travel Times: Northbound HOV Lane, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3313,Boston MPO
1959,Data,"Southeast Expressway Travel Times: Northbound General-Purpose Lanes, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3312,Boston MPO
1959,Data,"Southeast Expressway Travel Times: Southbound Travel Lanes, PM Peak Period, 2002-11",https://www.bostonmpo.org/node/3288,Boston MPO
1959,Data,"Southeast Expressway Travel Times: Southbound HOV Lane, PM Peak Period, 2002-11",https://www.bostonmpo.org/node/3287,Boston MPO
1959,Data,Traffic Volumes on I-93 Southeast Expressway,https://www.bostonmpo.org/node/3267,Boston MPO
1959,Data,"I-93 North Travel Times: Southbound HOV Lane, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3256,Boston MPO
1959,Data,"I-93 North Travel Times: Southbound Travel Lanes, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3232,Boston MPO
1959,Data,"I-93 North Travel Times: Southbound General-Purpose Lanes, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3211,Boston MPO
1959,Data,I-93 / Southeast Expressway / Route 3 (Braintree Split) Operational Assessment and Potential Improvements,https://www.bostonmpo.org/braintree_split,Boston MPO
1959,Website,MBTA Green Line,https://www.mbta.com/schedules/Green-D/line,External
1959,Website,Old Colony Railroad-Middleborough,https://www.mbta.com/schedules/CR-Middleborough/line,External
1959,Website,Old Colony Railroad-Plymouth,https://www.mbta.com/schedules/CR-Kingston/line,External
1959,Website,Boston Streetcars,http://www.bostonstreetcars.com/d-branch.html,External
1960,Website,Providence & Worcester Railroad,https://www.gwrr.com/railroads/north_america/providence-and-worcester-railroad#m_tab-one-panel,External
1961,Data,Average Speeds and Travel Times: Route 3 South,https://www.bostonmpo.org/node/3222,Boston MPO
1961,Data,Traffic Volumes on Route 3 South,https://www.bostonmpo.org/node/3277,Boston MPO
1961,Data,Express highway count locations: Route 3 South,https://www.bostonmpo.org/node/3207,Boston MPO
1961,Website,Cape Cod Canal Transportation Study,https://www.mass.gov/doc/chapter-5-3/download?_ga=2.147689143.1620101562.1615319737-474624116.1612207975,External
1962,Data,Express highway count locations: Lowell Connector,https://www.bostonmpo.org/node/3198,Boston MPO
1964,Website,MBTA,https://www.mbta.com/history,External
1964,Data,Average Speeds and Travel Times: I-90 / Mass Pike,https://www.bostonmpo.org/node/3175,Boston MPO
1964,Data,Traffic Volumes on I-90 (Massachusetts Turnpike),https://www.bostonmpo.org/node/3301,Boston MPO
1964,Data,Express highway count locations: I-90 (Newton to East Boston),https://www.bostonmpo.org/node/3231,Boston MPO
1964,Data,I-90 Interchange 17 (Newton Corner),https://www.bostonmpo.org/i90_interchange_17,Boston MPO
1964,Data,"Newton Corner Rotary Study, Phase II",https://www.bostonmpo.org/newton_corner_roatary_phase_ii,Boston MPO
1964,Data,Average Speeds and Travel Times: I-93 Far North,https://www.bostonmpo.org/node/3183,Boston MPO
1964,Data,Express highway count locations: I-93 Far North,https://www.bostonmpo.org/node/3243,Boston MPO
1965,Data,Express highway count locations: Mass Avenue/I-90 Interchange with I-93,https://www.bostonmpo.org/node/3238,Boston MPO
1965,Data,Average Speeds and Travel Times: I-90 / Mass Pike,https://www.bostonmpo.org/node/3175,Boston MPO
1965,Data,Traffic Volumes on I-90 (Massachusetts Turnpike),https://www.bostonmpo.org/node/3301,Boston MPO
1965,Data,Traffic Volumes on I-95 North,https://www.bostonmpo.org/node/3304,Boston MPO
1965,Data,Express highway count locations: I-95 far north,https://www.bostonmpo.org/node/3245,Boston MPO
1965,Data,Express highway count locations: Route 2 Near West,https://www.bostonmpo.org/node/3255,Boston MPO
1965,Data,Traffic Volumes on Route 2 West,https://www.bostonmpo.org/node/3308,Boston MPO
1965,Data,"Alewife Studies, Phase II",https://www.bostonmpo.org/alewife_phase_ii,Boston MPO
1966,Website,Boston & Maine Railroad,https://www.bmrrhs.org/history-of-the-b-and-m-railroad,External
1971,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1972,Website,The Milford Branch,https://www.abandonedrails.com/milford-branch,External
1973,Data,Average Speeds and Travel Times: I-93 North,https://www.bostonmpo.org/node/3184,Boston MPO
1973,Data,Express highway count locations: I-93 North,https://www.bostonmpo.org/node/3202,Boston MPO
1974,Data,Hanscom Air Force Base,https://www.hanscom.af.mil/,External
1975,Website,Elevated Orange Line,http://www.bostonstreetcars.com/orange-line.html,External
1975,Website,Dr. Paul Dudley White Bicycle Path,http://www.bikexprt.com/massfacil/pdwhite.htm,External
1975,Website,Shining Sea Bikeway,https://www.capecodbikeguide.com/shiningsea.asp,External
1976,Website,Newburyport Commuter Rail,https://www.mbta.com/schedules/CR-Newburyport/line,External
1976,Report,Regional Public Transit Feasibility Study: Millis,https://www.bostonmpo.org/data/html/studies/transit/SWAP_Transit_Feasibility/SWAP_Transit_Feasibility.html,Boston MPO
1977,Website,Elevated Orange Line,http://www.bostonstreetcars.com/orange-line.html,External
1979,Report,Fairmount Line Station Access Analysis,https://www.bostonmpo.org/fairmount-station-access,
1979,Website,Fairmount Commuter Rail,https://www.mbta.com/schedules/CR-Fairmount/line,External
1979,Website,The Central Massachusetts Railroad,https://www.abandonedrails.com/wayland-and-sudbury-branch-railroad,External
1980,Website,The Milford Branch,https://www.abandonedrails.com/milford-branch,External
1980,Website,CSX Railroad,https://www.csx.com/index.cfm/about-us/history-evolution/,External
1980,Website,About the Lexington Branch,http://www.bedforddepot.org/history/index.html,External
1984,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1985,Website,MBTA Red Line,https://www.mbta.com/schedules/Red/line,External
1985,Website,"Alewife Studies, Phase II",https://www.bostonmpo.org/alewife_phase_ii,Boston MPO
1987,Website,Elevated Orange Line,http://www.bostonstreetcars.com/orange-line.html,External
1987,Website,MBTA Orange Line,https://www.mbta.com/schedules/Orange/line,External
1987,Website,Southwest Corridor,https://www.jphs.org/20th-century/how-jamaica-plain-activists-created-the-southwest-corridor.html,External
1987,Website,The Salem and Lowell Railroad,http://www.oldrr.com/slopen.html,External
1987,Website,Pierre Lallement Bike Path,https://www.arrtinc.org/map/Index.cfm?project=Lallement,External
1987,Website,Southwest Corridor Park,https://www.mass.gov/locations/southwest-corridor-park,External
1987,Report,MBTA Program for Mass Transportation,https://www.bostonmpo.org/data/pdf/studies/transit/pmt/PMT_App_E.pdf,Boston MPO
1987,Website,The Salem and Lowell Railroad,http://www.oldrr.com/slopen.html,External
1992,Website,The Manchester and Lawrence Railroad,https://www.abandonedrails.com/manchester-and-lawrence-railroad,External
1992,Website,The Minuteman Bikeway,http://www.minutemanbikeway.org/Pages/Introduction.html,External
1992,Website,Minuteman Commuter Bikeway,http://minutemanbikeway.org/,External
1992,Report,The Narrow-Gauge Rail-Trail,https://www.bedforddepot.org/railtrails/NGRT_guide.pdf,External
1993,Blog,South Boston Bypass Road,https://blog.mass.gov/transportation/massdot-highway/massdot-beginning-south-boston-bypass-road-and-portion-of-hov-lane-pilot-program-monday-october-15/,External
1993,Website,The Big Dig,https://www.mass.gov/info-details/the-big-dig-project-background,External
1993,Report,Trucks in South Boston,https://www.ctps.org/data/html/studies/other/Trucks-in-the-South-Boston-Waterfront/Trucks-in-the-South-Boston-Waterfront.html,Boston MPO
1993,Memo,Trucks at the Southampton Street Bottleneck,https://www.bostonmpo.org/trucks-southampton-street,Boston MPO
1993,Blog,MassDOT Completes Framingham Secondary Rail Line Acquisition,https://blog.mass.gov/transportation/massdot-rail-transit/massdot-completes-framingham-secondary-rail-line-acquisition/,External
1994,Website,Interstate 93 HOV lane,https://www.mass.gov/service-details/interstate-93-hov-lane,External
1994,Data,"I-93 North Travel Times: Southbound HOV Lane, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3256,Boston MPO
1994,Data,"I-93 North Travel Times: Southbound Travel Lanes, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3232,Boston MPO
1994,Data,"I-93 North Travel Times: Southbound General-Purpose Lanes, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3211,Boston MPO
1994,Website,Commuter Rail Extention to Worcester,https://www.mbta.com/schedules/CR-Worcester/line,External
1995,Website,South Station Bus Terminal,https://www.south-station.net/regional-bus,External
1995,Website,South Station,https://www.south-station.net/,External
1995,Website,Southeast Expressway HOV Lane,https://www.mass.gov/service-details/southeast-expressway-hov-lane,External
1995,Data,"Southeast Expressway Travel Times: Northbound HOV Lane, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3313,Boston MPO
1995,Data,"Southeast Expressway Travel Times: Southbound HOV Lane, PM Peak Period, 2002-11",https://www.bostonmpo.org/node/3287,Boston MPO
1995,Data,"I-93 North Travel Times: Southbound HOV Lane, AM Peak Period, 2002-11",https://www.bostonmpo.org/node/3256,Boston MPO
1995,Website,Ted Williams Tunnel,https://www.mass.gov/info-details/the-big-dig-tunnels-and-bridges#the-ted-williams-tunnel-,External
1995,Website,The Big Dig,https://www.mass.gov/info-details/the-big-dig-project-background,External
1997,Website,Old Colony Railroad-Plymouth,https://www.mbta.com/schedules/CR-Kingston/line,External
1998,Website,Old Colony Railroad-Middleborough,https://www.mbta.com/schedules/CR-Middleborough/line,External
1998,Website,Phoenix Bikeway,https://fairhaventours.com/phoenix-bike-trail-fairhaven-ma/,External
1998,Map,Phoenix Bikeway Map,https://www.savebuzzardsbay.org/wp-content/uploads/2016/03/map_phoenix-bike-trail.pdf,External
1999,Website,Newburyport Commuter Rail,https://www.mbta.com/schedules/CR-Newburyport/line,External
2001,Website,The Framingham and Lowell Railroad,https://www.abandonedrails.com/framingham-and-lowell-railroad,External
2002,Document,MBTA Silver Line,https://nbrti.org/wp-content/uploads/2017/05/boston.pdf,External
2002,Website,Silver Line Washington Street SL4,https://www.mbta.com/schedules/751/line,External
2002,Website,Silver Line Washington Street SL5,https://www.mbta.com/schedules/749/line,External
2002,Website,The Leonard P. Zakim Bunker Hill Memorial Bridge,https://leonardpzakimbunkerhillbridge.org/,External
2002,Website,Nashua River Rail Trail,https://www.mass.gov/locations/nashua-river-rail-trail,External
2003,Website,Silver Line Washington Street SL1,https://www.mbta.com/schedules/741/line,External
2003,Website,Silver Line Washington Street SL2,https://www.mbta.com/schedules/742/line,External
2003,Website,Lower Neponset River Trail,https://www.mass.gov/locations/lower-neponset-river-trail,External
2004,Data,Average Speeds and Travel Times: I-93 / Central Artery/ Southeast Expressway,https://www.bostonmpo.org/node/3176,Boston MPO
2004,Data,Traffic Volumes on I-93 Central Artery,https://www.bostonmpo.org/node/3302,Boston MPO
2004,Data,Express highway count locations: I-93 Central Artery,https://www.bostonmpo.org/node/3201,Boston MPO
2003,Website,The Big Dig,https://www.mass.gov/info-details/the-big-dig-project-background,External
2004,Website,The Big Dig,https://www.mass.gov/info-details/the-big-dig-project-background,External
2005,Website,The Big Dig,https://www.mass.gov/info-details/the-big-dig-project-background,External
2005,Website,North Station,http://goodoldboston.blogspot.com/2012/02/lost-train-stations-north-station-i-and.html,External
2005,Website,MBTA North Station,https://www.mbta.com/stops/place-north,External
2005,Website,Blackstone Bikeway,https://blackstoneheritagecorridor.org/exploring-the-blackstone-river-valley/maps-tours-guides/bikepath-access/,External
2006,Website,Assabet River Rail Trail,https://www.arrtinc.org/,External
2007,Website,Old Colony Railroad-Greenbush,https://www.mbta.com/schedules/CR-Greenbush/line,External
2007,Report,Greenbush Commuter Rail Before-and-After Study,https://www.bostonmpo.org/greenbush_before_after,Boston MPO
2007,Website,East Boston Greenway,https://onthegrid.city/boston/east-boston/madonna-queen-of-the-universe-shrine,External
2008,Map,Independence Greenway,https://peabody-ma.gov/comm_dev/IndependenceGreenwayMap.pdf,External
2009,Website,Bruce Freeman Rail Trail,https://brucefreemanrailtrail.org/,External
2009,Website,MassDOT,https://www.mass.gov/orgs/massachusetts-department-of-transportation,External
2009,Report,Feasibility Study for a Proposed Extension of the Bruce N. Freeman Memorial Path in Sudbury and Framingham,https://www.bostonmpo.org/freeman_extension,Boston MPO
2010,Website,Boston to Border Trail,https://essexheritage.org/bordertoboston,External
2010,Report,Boston to Border Trail-MVPC,http://mvpc.org/wp-content/uploads/Border-to-Boston-Trail-Update.pdf,External
2011,Website,Boston & Maine Railroad,https://www.bmrrhs.org/history-of-the-b-and-m-railroad,External
2011,Blog,MassDOT Completes Framingham Secondary Rail Line Acquisition,https://blog.mass.gov/transportation/massdot-rail-transit/massdot-completes-framingham-secondary-rail-line-acquisition/,External
2012,Website,Boston to Border Trail,https://essexheritage.org/bordertoboston,External
2012,Website,Northern Strand Trail,https://biketothesea.org/map/,External
2013,Website,Bay Colony Trail,https://www.baycolonyrailtrail.org/,External
2014,Website,Assembly,https://www.mbta.com/stops/place-astao,External
